date,bid,ask
20130501082859,1.5576,1.55765
20130501082900,1.55763,1.55771
20130501082900,1.55758,1.55767
20130501082900,1.55758,1.55771
20130501082900,1.55763,1.55771
20130501082900,1.55764,1.55772
20130501082901,1.55766,1.55776
20130501082901,1.55771,1.55778
20130501082901,1.55772,1.55781
20130501082901,1.55771,1.55784
20130501082902,1.5577,1.55781
20130501082902,1.55768,1.5578
20130501082903,1.55772,1.55781
20130501082903,1.55773,1.55782
20130501082903,1.55777,1.55785
20130501082903,1.55774,1.55787
20130501082903,1.55775,1.55787
20130501082904,1.55778,1.55791
20130501082904,1.5578,1.55791
20130501082906,1.5578,1.55793
20130501082906,1.5578,1.55793
20130501082906,1.55783,1.55794
20130501082906,1.55783,1.55794
20130501082906,1.55785,1.55797
20130501082906,1.55784,1.55794
20130501082907,1.55783,1.55794
20130501082907,1.5578,1.5579
20130501082908,1.5578,1.5579
20130501082909,1.55781,1.55792
20130501082909,1.55781,1.55792
20130501082909,1.55779,1.55789
20130501082910,1.55778,1.5579
20130501082910,1.55778,1.55789
20130501082910,1.55778,1.55789
20130501082912,1.5578,1.55789
20130501082912,1.55773,1.55781
20130501082912,1.5577,1.55779
20130501082914,1.55768,1.55776
20130501082914,1.55767,1.55775
20130501082914,1.55765,1.55773
20130501082915,1.5576,1.55767
20130501082915,1.5576,1.55769
20130501082915,1.55759,1.55769
20130501082915,1.55759,1.55768
20130501082916,1.55753,1.55765
20130501082916,1.55754,1.55765
20130501082916,1.55755,1.55763
20130501082916,1.55756,1.55766
20130501082917,1.55758,1.55769
20130501082917,1.55761,1.5577
20130501082917,1.55761,1.55773
20130501082917,1.55761,1.55771
20130501082917,1.55762,1.55775
20130501082918,1.55761,1.55776
20130501082918,1.55765,1.55776
20130501082918,1.55767,1.55776
20130501082919,1.5578,1.55789
20130501082919,1.55779,1.55789
20130501082919,1.55779,1.55791
20130501082920,1.55783,1.55795
20130501082920,1.55786,1.55799
20130501082920,1.55787,1.558
20130501082920,1.5579,1.558
20130501082921,1.5579,1.55797
20130501082921,1.55787,1.55796
20130501082921,1.55789,1.55797
20130501082921,1.55789,1.55801
20130501082922,1.55788,1.558
20130501082922,1.55797,1.55807
20130501082922,1.55796,1.55807
20130501082922,1.55797,1.55809
20130501082924,1.55799,1.55811
20130501082924,1.558,1.55811
20130501082924,1.55802,1.55813
20130501082924,1.55803,1.55815
20130501082925,1.55802,1.55814
20130501082925,1.55807,1.55818
20130501082926,1.55811,1.55826
20130501082926,1.55816,1.55828
20130501082926,1.55814,1.55823
20130501082926,1.55814,1.55831
20130501082926,1.55818,1.55833
20130501082927,1.55823,1.5583
20130501082927,1.55823,1.55838
20130501082927,1.55823,1.55834
20130501082927,1.55823,1.55836
20130501082927,1.55826,1.55839
20130501082927,1.5583,1.55839
20130501082928,1.5583,1.5584
20130501082928,1.5583,1.55839
20130501082929,1.55834,1.55849
20130501082929,1.5584,1.55849
20130501082929,1.55842,1.55849
20130501082930,1.5584,1.55849
20130501082930,1.55834,1.55845
20130501082930,1.55833,1.55843
20130501082930,1.55829,1.55843
20130501082930,1.55829,1.5584
20130501082931,1.5583,1.55841
20130501082932,1.55835,1.55843
20130501082932,1.55834,1.55844
20130501082933,1.55835,1.55844
20130501082933,1.55833,1.55843
20130501082934,1.55837,1.55844
20130501082934,1.55838,1.55847
20130501082934,1.55836,1.55846
20130501082934,1.55836,1.55846
20130501082934,1.55834,1.55842
20130501082935,1.55835,1.55843
20130501082935,1.55835,1.55845
20130501082936,1.55836,1.55845
20130501082936,1.55838,1.55845
20130501082937,1.55838,1.55848
20130501082937,1.55839,1.55849
20130501082937,1.55842,1.55851
20130501082938,1.55842,1.55851
20130501082938,1.55841,1.55852
20130501082939,1.55839,1.55847
20130501082939,1.55837,1.55844
20130501082939,1.5584,1.55847
20130501082939,1.55841,1.55851
20130501082940,1.5584,1.55847
20130501082940,1.55837,1.55846
20130501082941,1.55835,1.55846
20130501082941,1.55835,1.55844
20130501082941,1.55834,1.55844
20130501082941,1.55832,1.55842
20130501082942,1.55832,1.55842
20130501082942,1.55832,1.55842
20130501082944,1.55832,1.55842
20130501082944,1.55828,1.55838
20130501082944,1.55828,1.55836
20130501082945,1.55828,1.55837
20130501082946,1.55828,1.55835
20130501082946,1.55828,1.55835
20130501082946,1.55827,1.55835
20130501082947,1.55827,1.55835
20130501082947,1.55827,1.55839
20130501082947,1.55827,1.55839
20130501082948,1.55827,1.55839
20130501082948,1.55828,1.55839
20130501082950,1.55829,1.55839
20130501082950,1.55829,1.5584
20130501082951,1.55826,1.55835
20130501082951,1.55822,1.55834
20130501082951,1.5582,1.55827
20130501082951,1.5582,1.55826
20130501082952,1.55816,1.55825
20130501082952,1.55814,1.55825
20130501082952,1.55812,1.55821
20130501082953,1.55811,1.55817
20130501082953,1.55808,1.55816
20130501082954,1.55807,1.55816
20130501082954,1.55807,1.55816
20130501082955,1.55807,1.55816
20130501082955,1.55807,1.55816
20130501082957,1.55805,1.55815
20130501082957,1.55803,1.5581
20130501082958,1.55799,1.55809
20130501082958,1.55799,1.55807
20130501082958,1.55796,1.55805
20130501082958,1.55794,1.55805
20130501082959,1.55793,1.55803
20130501082959,1.55791,1.55799
20130501082959,1.55788,1.55799
20130501083000,1.55789,1.55798
20130501083000,1.55789,1.55798
20130501083001,1.55789,1.55798
20130501083002,1.55788,1.55797
20130501083002,1.55788,1.55797
20130501083003,1.55787,1.55798
20130501083003,1.55787,1.55795
20130501083003,1.55785,1.55792
20130501083004,1.55782,1.55792
20130501083004,1.55782,1.5579
20130501083005,1.55786,1.55796
20130501083005,1.55789,1.55799
20130501083005,1.55794,1.55804
20130501083006,1.55796,1.55803
20130501083006,1.55798,1.5581
20130501083006,1.55796,1.5581
20130501083007,1.55796,1.55809
20130501083007,1.55796,1.55809
20130501083008,1.55796,1.55807
20130501083008,1.55796,1.55808
20130501083008,1.55794,1.55808
20130501083009,1.55794,1.55809
20130501083010,1.55794,1.55807
20130501083010,1.55797,1.55807
20130501083011,1.55797,1.55807
20130501083011,1.55797,1.55807
20130501083012,1.55797,1.55807
20130501083012,1.55797,1.55807
20130501083012,1.55798,1.55807
20130501083013,1.55796,1.55806
20130501083013,1.55797,1.55807
20130501083014,1.55797,1.55807
20130501083014,1.55796,1.55808
20130501083014,1.55796,1.55808
20130501083014,1.55796,1.55808
20130501083014,1.55796,1.55806
20130501083015,1.55799,1.55809
20130501083015,1.55805,1.5581
20130501083015,1.55808,1.55816
20130501083015,1.55809,1.55816
20130501083016,1.55813,1.5582
20130501083016,1.55813,1.55821
20130501083016,1.55813,1.55823
20130501083017,1.55812,1.55821
20130501083017,1.55812,1.5582
20130501083019,1.55811,1.5582
20130501083019,1.55809,1.5582
20130501083020,1.55807,1.55817
20130501083020,1.55807,1.55817
20130501083020,1.55807,1.55815
20130501083020,1.55803,1.55812
20130501083021,1.55807,1.55815
20130501083021,1.55807,1.55816
20130501083021,1.55807,1.55816
20130501083022,1.55807,1.55815
20130501083022,1.55807,1.55816
20130501083023,1.55807,1.55817
20130501083023,1.55803,1.55814
20130501083023,1.55803,1.55811
20130501083024,1.55802,1.55813
20130501083024,1.55802,1.5581
20130501083025,1.55802,1.5581
20130501083025,1.55802,1.5581
20130501083026,1.55802,1.5581
20130501083026,1.55801,1.5581
20130501083026,1.55798,1.55806
20130501083027,1.55797,1.55805
20130501083030,1.55797,1.55805
20130501083030,1.55796,1.55801
20130501083031,1.55792,1.558
20130501083031,1.55792,1.558
20130501083032,1.55792,1.558
20130501083033,1.5579,1.55796
20130501083033,1.5579,1.55794
20130501083033,1.55785,1.55794
20130501083033,1.55783,1.55793
20130501083033,1.5578,1.5579
20130501083035,1.5578,1.55788
20130501083035,1.5578,1.55787
20130501083036,1.55781,1.55787
20130501083037,1.55782,1.55787
20130501083037,1.55775,1.55784
20130501083037,1.55773,1.5578
20130501083037,1.55769,1.55779
20130501083037,1.55769,1.55778
20130501083037,1.5577,1.5578
20130501083038,1.55768,1.55778
20130501083038,1.5577,1.55778
20130501083038,1.55768,1.55779
20130501083039,1.55769,1.55779
20130501083039,1.5577,1.5578
20130501083039,1.5577,1.5578
20130501083039,1.55773,1.55779
20130501083040,1.55772,1.55781
20130501083041,1.55773,1.55782
20130501083041,1.55774,1.55782
20130501083042,1.55775,1.55784
